Cheddar Cheese,Cheddar Cheese,g,2026-09-11,1026.0,1026.0,295.0,3250.7,"(2, 1, 0)","(1, 1, 0, 5)",882.61,902.71,160.88,219.13,22.02,24.43
Cheddar Cheese,Cheddar Cheese,g,2026-09-14,989.11,989.11,202.03,4173.52,"(2, 1, 0)","(1, 1, 0, 5)",882.61,902.71,160.88,219.13,22.02,24.43
Cheddar Cheese,Cheddar Cheese,g,2026-09-15,947.63,947.63,168.98,4465.26,"(2, 1, 0)","(1, 1, 0, 5)",882.61,902.71,160.88,219.13,22.02,24.43
Chicken Breast,Chicken Breast,kg,2026-09-07,0.91,0.91,0.3,1.93,"(0, 1, 1)","(0, 1, 1, 5)",-225.85,-209.77,0.3,0.39,32.31,27.63
Chicken Breast,Chicken Breast,kg,2026-09-08,1.04,1.04,0.38,2.14,"(0, 1, 1)","(0, 1, 1, 5)",-225.85,-209.77,0.3,0.39,32.31,27.63
Chicken Breast,Chicken Breast,kg,2026-09-09,0.93,0.93,0.31,1.96,"(0, 1, 1)","(0, 1, 1, 5)",-225.85,-209.77,0.3,0.39,32.31,27.63
Chicken Breast,Chicken Breast,kg,2026-09-10,1.11,1.11,0.42,2.27,"(0, 1, 1)","(0, 1, 1, 5)",-225.85,-209.77,0.3,0.39,32.31,27.63
Chicken Breast,Chicken Breast,kg,2026-09-11,1.25,1.25,0.51,2.51,"(0, 1, 1)","(0, 1, 1, 5)",-225.85,-209.77,0.3,0.39,32.31,27.63
Chicken Breast,Chicken Breast,kg,2026-09-14,0.91,0.91,0.3,1.93,"(0, 1, 1)","(0, 1, 1, 5)",-225.85,-209.77,0.3,0.39,32.31,27.63
Chicken Breast,Chicken Breast,kg,2026-09-15,1.04,1.04,0.37,2.14,"(0, 1, 1)","(0, 1, 1, 5)",-225.85,-209.77,0.3,0.39,32.31,27.63
Chicken Wings,Chicken Wings,kg,2026-09-07,4.45,4.45,2.62,7.8,"(2, 1, 1)","(1, 0, 1, 5)",-599.39,-571.18,1.07,1.26,25.91,22.96
Chicken Wings,Chicken Wings,kg,2026-09-08,4.32,4.32,2.5,7.72,"(2, 1, 1)","(1, 0, 1, 5)",-599.39,-571.18,1.07,1.26,25.91,22.96
Chicken Wings,Chicken Wings,kg,2026-09-09,4.33,4.33,2.5,7.78,"(2, 1, 1)","(1, 0, 1, 5)",-599.39,-571.18,1.07,1.26,25.91,22.96
Chicken Wings,Chicken Wings,kg,2026-09-10,4.62,4.62,2.66,8.35,"(2, 1, 1)","(1, 0, 1, 5)",-599.39,-571.18,1.07,1.26,25.91,22.96
Chicken Wings,Chicken Wings,kg,2026-09-11,5.22,5.22,2.99,9.58,"(2, 1, 1)","(1, 0, 1, 5)",-599.39,-571.18,1.07,1.26,25.91,22.96
Chicken Wings,Chicken Wings,kg,2026-09-14,4.12,4.12,2.38,7.39,"(2, 1, 1)","(1, 0, 1, 5)",-599.39,-571.18,1.07,1.26,25.91,22.96
Chicken Wings,Chicken Wings,kg,2026-09-15,4.23,4.23,2.44,7.61,"(2, 1, 1)","(1, 0, 1, 5)",-599.39,-571.18,1.07,1.26,25.91,22.96
Chocolate Powder,Chocolate Powder,g,2026-09-07,315.78,315.78,135.34,606.02,"(0, 1, 1)","(0, 0, 0, 5)",2068.8,2080.93,86.22,110.78,29.95,26.91
